LIBGEO,BV2012,LIBBV2012
Bellenglise,02691,Saint-Quentin
Belleu,02722,Soissons
Bellicourt,59139,Caudry
Benay,02691,Saint-Quentin
Bergues-sur-Sambre,02558,Le Nouvion-en-Thiérache
Berlancourt,02468,Marle
Berlise,02381,Hirson
Bernot,02691,Saint-Quentin
Berny-Rivière,02795,Vic-sur-Aisne
Berrieux,51454,Reims
Berry-au-Bac,51454,Reims
Bertaucourt-Epourdon,02738,Tergnier
Berthenicourt,02691,Saint-Quentin
Bertricourt,51454,Reims
Berzy-le-Sec,02722,Soissons
Besmé,02173,Chauny
Besmont,02381,Hirson
Besny-et-Loizy,02408,Laon
Béthancourt-en-Vaux,02173,Chauny
Beugneux,02305,Fère-en-Tardenois
Beuvardes,02305,Fère-en-Tardenois
Bézu-le-Guéry,02163,Charly-sur-Marne
Bézu-Saint-Germain,02168,Château-Thierry
Bichancourt,02173,Chauny
Bieuxy,02722,Soissons
Bièvres,02408,Laon
Billy-sur-Aisne,02722,Soissons
Billy-sur-Ourcq,02810,Villers-Cotterêts
Blanzy-lès-Fismes,51250,Fismes
Blérancourt,60471,Noyon
Blesmes,02168,Château-Thierry
Bohain-en-Vermandois,02095,Bohain-en-Vermandois
Bois-lès-Pargny,02468,Marle
Boncourt,51454,Reims
Bonneil,02168,Château-Thierry
Bonnesvalyn,02168,Château-Thierry
Bony,59139,Caudry
Bosmont-sur-Serre,02468,Marle
Bouconville-Vauclair,02408,Laon
Boué,02558,Le Nouvion-en-Thiérache
Bouffignereux,51250,Fismes
Bouresches,02168,Château-Thierry
Bourg-et-Comin,51250,Fismes
Bourguignon-sous-Coucy,02173,Chauny
Bourguignon-sous-Montbavin,02408,Laon
La Bouteille,02789,Vervins
Braine,02722,Soissons
Brancourt-en-Laonnois,02018,Pinon
Brancourt-le-Grand,02095,Bohain-en-Vermandois
Brasles,02168,Château-Thierry
Braye-en-Laonnois,02722,Soissons
Braye-en-Thiérache,02789,Vervins
Bray-Saint-Christophe,80410,Ham
Braye,02722,Soissons
Brécy,02305,Fère-en-Tardenois
Brenelle,02722,Soissons
Breny,02305,Fère-en-Tardenois
Brie,02738,Tergnier
Brissay-Choigny,02738,Tergnier
Brissy-Hamégicourt,02738,Tergnier
Brumetz,02810,Villers-Cotterêts
Brunehamel,02381,Hirson
Bruyères-sur-Fère,02305,Fère-en-Tardenois
Bruyères-et-Montbérault,02408,Laon
Bruys,51250,Fismes
Bucilly,02381,Hirson
Bucy-le-Long,02722,Soissons
Bucy-lès-Cerny,02408,Laon
Bucy-lès-Pierrepont,02408,Laon
Buire,02381,Hirson
Buironfosse,02141,La Capelle
Burelles,02789,Vervins
Bussiares,02168,Château-Thierry
Buzancy,02722,Soissons
Caillouël-Crépigny,02173,Chauny
Camelin,60471,Noyon
La Capelle,02141,La Capelle
Castres,02691,Saint-Quentin
Le Catelet,59139,Caudry
Caulaincourt,02691,Saint-Quentin
Caumont,02173,Chauny
Celles-lès-Condé,02168,Château-Thierry
La Celle-sous-Montmirail,51380,Montmirail
Celles-sur-Aisne,02722,Soissons
Cerizy,02691,Saint-Quentin
Cerny-en-Laonnois,02408,Laon
Cerny-lès-Bucy,02408,Laon
Cerseuil,02722,Soissons
Cessières,02408,Laon
Chacrise,02722,Soissons
Chaillevois,02018,Pinon
Chalandry,02408,Laon
Chambry,02408,Laon
Chamouille,02408,Laon
Champs,02173,Chauny
Chaourse,02381,Hirson
La Chapelle-Monthodon,51217,Dormans
La Chapelle-sur-Chézy,02163,Charly-sur-Marne
Charly-sur-Marne,02163,Charly-sur-Marne
Le Charmel,02305,Fère-en-Tardenois
Charmes,02738,Tergnier
Chartèves,02168,Château-Thierry
Chassemy,02722,Soissons
Château-Thierry,02168,Château-Thierry
Châtillon-lès-Sons,02468,Marle
Châtillon-sur-Oise,02691,Saint-Quentin
Chaudardes,51250,Fismes
Chaudun,02722,Soissons
Chauny,02173,Chauny
Chavignon,02018,Pinon
Chavigny,02722,Soissons
Chavonne,02722,Soissons
Chérêt,02408,Laon
Chermizy-Ailles,02408,Laon
Chéry-Chartreuve,51250,Fismes
Chéry-lès-Pouilly,02408,Laon
Chéry-lès-Rozoy,02381,Hirson
Chevennes,02468,Marle
Chevregny,02408,Laon
Chevresis-Monceau,02408,Laon
Chézy-en-Orxois,02810,Villers-Cotterêts
Chézy-sur-Marne,02168,Château-Thierry
Chierry,02168,Château-Thierry
Chigny,02361,Guise
Chivres-en-Laonnois,02408,Laon
Chivres-Val,02722,Soissons
Chivy-lès-Étouvelles,02408,Laon
Chouy,02810,Villers-Cotterêts
Cierges,02305,Fère-en-Tardenois
Cilly,02468,Marle
Ciry-Salsogne,02722,Soissons
Clacy-et-Thierret,02408,Laon
Clairfontaine,02141,La Capelle
Clamecy,02722,Soissons
Clastres,80410,Ham
Clermont-les-Fermes,02408,Laon
Coeuvres-et-Valsery,02795,Vic-sur-Aisne
Coincy,02305,Fère-en-Tardenois
Coingt,02381,Hirson
Colligis-Crandelain,02408,Laon
Colonfay,02361,Guise
Commenchon,02173,Chauny
Concevreux,51250,Fismes
Condé-en-Brie,02168,Château-Thierry
Condé-sur-Aisne,02722,Soissons
Condé-sur-Suippe,51454,Reims
Condren,02738,Tergnier
Connigis,02168,Château-Thierry
Contescourt,02691,Saint-Quentin
Corbeny,51454,Reims
Corcy,02810,Villers-Cotterêts
Coucy-le-Château-Auffrique,02173,Chauny
Coucy-lès-Eppes,02408,Laon
Coucy-la-Ville,02173,Chauny
Coulonges-Cohan,02305,Fère-en-Tardenois
Coupru,02163,Charly-sur-Marne
Courbes,02738,Tergnier
Courboin,02168,Château-Thierry
Courcelles-sur-Vesle,51250,Fismes
Courchamps,02168,Château-Thierry
Courmelles,02722,Soissons
Courmont,02305,Fère-en-Tardenois
Courtemont-Varennes,51217,Dormans
Courtrizy-et-Fussigny,51454,Reims
Couvrelles,02722,Soissons
Couvron-et-Aumencourt,02408,Laon
Coyolles,02810,Villers-Cotterêts
Cramaille,02305,Fère-en-Tardenois
Craonne,51250,Fismes
Craonnelle,51250,Fismes
Crécy-au-Mont,02722,Soissons
Crécy-sur-Serre,02408,Laon
Crépy,02408,Laon
Crézancy,02168,Château-Thierry
Croix-Fonsomme,02095,Bohain-en-Vermandois
La Croix-sur-Ourcq,02305,Fère-en-Tardenois
Crouttes-sur-Marne,02163,Charly-sur-Marne
Crouy,02722,Soissons
